content,uid,uname,addtime,likes
"芭比是我从小到大最爱看的 因为 她在当初大家需要靠男人的时候 是部分迪士尼公主需要王子来解救的时候 芭比真都靠自己
 ",4097653847733130,是瓶子点点啊,2024-01-10 14:02:21,839
很多人说芭比本身就是在制造容貌焦虑，但其实电影开头，在芭比出现之前，女孩们的玩具就是小婴儿玩偶，每天就是给它喂奶，哄睡…其实这个玩具是很恐怖的，它在女孩们小的时候就植入一种女性必须要生子，必须要照顾小婴儿的可怕思想…然后芭比出现了，她是精致的，是多变的，她告诉女孩们长大以后可以是医生，是律师，是任何职业，在任何领域女性都可以大放光彩，而不只是在家带娃而已！,1246092952,你好风！,2023-10-28 22:30:02,1527
没有把Ken “赐给” Barbie，反而给了他平等的尊重，也只有“女权”能做到了。,4097653847733137,喝可乐的马喽,2024-01-10 14:02:21,822
要知道中国女人在电影院看一部高纯度女性视角爽片的机会可不多,4097653881279371,暖一杯茶恰,2024-01-10 14:02:21,613
"电影｜《芭比》何为“女性主义”|||名称：《芭比》

观看笔记：电影的开头介绍了“第一次女性主义崛起”。初期女性的玩具洋娃娃只有婴儿，女孩子们只能当妈妈；芭比的出现给女性带来了变革，女性开始有憧憬的形象。
	
不过可笑的是，生产做这些的芭比的人都是男人，也暗示了当下的女性主义其实是父权制的产物。看似是在解决女权和平权问题，其实不然。通过秘书的话，也揭露了父权制下女性的认知失调，揭露了父权制的真面目。
	
Ken这个角色其实就是个“男芭比”。只有芭比关注他的时候他才有意义，不断强调自己的地位和能力也是为了吸引芭比的注意。故事的最后芭比赋予了Ken权力，“成为自己”的权力。",990839382,知世世c,2023-11-19 20:44:00,671
“肯在芭比乐园获得的职位，会和女性在现实世界中获得的职位一样多”,4097653881279373,种麦芽糖的山坡,2024-01-10 14:02:21,522
真正的女性视角。是女性爽片又怎么样呢？这个世界上的男性爽片还不够多吗？,4097653881279364,不是你粥周啊,2024-01-10 14:02:21,507
我说呢这个芭比看着有点眼熟，原来是我们的哈莉奎茵,4097653847733123,出师未捷喵喵队,2024-01-10 14:02:21,484
映前她因为长得不适配“甜美型”芭比被骂惨了，所有人都想不到这个电影的立意是这个样子,4097653847733126,费德勒铭人,2024-01-10 14:02:21,369
给父权制世界一点小小的冒犯和大大的芭比震撼，不得不搬出那句俗套的宣传语，但本部是真正的“有笑有泪年度最佳”。,4097653847733138,维多丽丽亚子,2024-01-10 14:00:27,1151
